,id,name,category,email,description,established,telegram_url,instagram_url
0,49,25th July Cinema,cultural,25july@nu.edu.kz,"25th July Cinema Club is a collaborative hub for students passionate about the art of visual storytelling. Whether you’re into directing, screenwriting, acting, cinematography, or editing - this is where ideas turn into motion pictures. No prior experience needed - just your passion and imagination.


**Location:** 27 Block 146 Room, Dormitory


## Activities
- Create original short films and music videos
- Organize major events like Lights On! Filmathon and premiere nights
- Host workshops, feedback sessions, and production challenges
- Conduct creative meetups, movie quizzes, and guest lectures


## Achievements
- Named Art & Recreation Club of the Year 2025
- Hosted Lights On Filmathon with 150+ student filmmakers in a 24-hour challenge
- Organized 4+ movie quizzes and 2 guest lectures, including one with Aya Shalkar
- Created 2 live music videos and co-hosted a concert with Kunzharyq


## Entry Requirements
- Be open and creative
- Have a passion for filmmaking or films
- No prior experience needed - just enthusiasm
- Willingness to be involved, grow, and be part of a lasting, supportive community",2020-09-01,https://t.me/CinemaJuly25th,https://www.instagram.com/xxv07/
1,17,Accounting and Auditing Club,academic,aac@nu.edu.kz,"Accounting and Auditing Club (AAC) is a professional development club founded by former employees of the Big 4. Our mission is to help students gain the knowledge, skills, and experience needed to build successful careers in accounting, auditing, and beyond. We organize large-scale events with industry-level standards, including case championships, professional bootcamps with Big 4 companies, intellectual games, and more. Our members also take part in educational lectures and hands-on workshops led by mentors, allowing them to deepen their understanding of key financial topics. Beyond professional growth, AAC offers a welcoming and supportive community where like-minded students passionate about finance can learn, connect, and grow together.",2020-09-01,https://t.me/nu__aac,https://www.instagram.com/nu__aac
2,20,ACM@NU,academic,acmsc@nu.edu.kz,"ACM@NU - the first and only branches of the international ACM (Association for Computing Machinery) and ACM-Women organisations in Kazakhstan and Central Asia.

Since 2017, we’ve provided unique opportunities for networking, mentoring, and connecting over shared interests within the university and the wider community. The ACM-Women Student Chapter empowers women through projects and programs in computing.",2017-02-04,https://t.me/nuacmsc,https://www.instagram.com/nuacmsc/
3,150,Acoustic Night Community,cultural,acousticnight@nu.edu.kz,"Acoustic Night has been a part of Nazarbayev University since 2014, bringing students together through the power of live acoustic music. We organize concerts both on and off campus, giving students the chance to share their musical talents and passion, not only as performers, but also as organizers, creatives, or simply music lovers. Whether you're performing or enjoying the music, our club creates a space where everyone can connect, relax, and celebrate the art of music. Everyone is welcome at AN, no experience needed, just a love for music and good vibes.


**Location:** 26 Block 122 Room, Dormitory


## Activities
- Acoustic concerts on and off campus
- Open mic nights
- Tutorial sessions for beginners


## Achievements
- Our charity concert raised 77,000 tenge


## Entry Requirements
- Everyone is welcome!
- If music moves you, you’re already one of us.",2025-10-19,,https://www.instagram.com/acoustic.night/
4,63,Adventure Club,cultural,adventure.club@nu.edu.kz,Official Adventure Club at Nazarbayev University.,2020-09-01,https://t.me/adventure.club,https://www.instagram.com/adventure.club
5,8,Aeromodelling Club,academic,aeromodelling_club@nu.edu.kz,"Aeromodelling Club is a community for students passionate about aviation and aerospace technology. We focus on designing, building, and flying model aircraft, from fixed-wing planes to advanced RC models. Members have the opportunity to learn about aerodynamics, flight control systems, and modern engineering techniques through hands-on projects. The club also participates in competitions such as Teknofest, where students can showcase their skills and creativity. Whether you are an experienced builder or just curious about aircraft design, our club offers a space to innovate, collaborate, and bring ideas to life.


**Location:** 27 Block 144 room, Dormitory


## Activities
- Designing, building, and flying RC planes and drones
- AeroTalks


## Achievements
- Participated in Teknofest international UAV competition


## Entry Requirements
- Knowledge of aerodynamics
- 3D CAD modeling
- Flight controls
- Basic electronics proficiency",2020-09-01,https://t.me/nu_aero,https://www.instagram.com/nu_aero/
6,23,AIChE Student Chapter,academic,aiche@nu.edu.kz,"We are the AIChE Student Chapter at Nazarbayev University. We host academic and professional events throughout the year, inviting professionals, organizing industry visits, and STEM events. Our members come from chemical engineering, chemistry, and related majors. If you're passionate or just curious, join us.


**Location:** 27 Block 145 Room, Dormitory


## Activities
- ""Avatar"" Week
- Reacthon
- ChemeSoccer
- Guest Lectures


## Achievements
- Chem-E-Car 2022-2023: 1st place in Poster Presentations and 3rd place in Demo-Run
- ChemECube 2023: Best Poster Award
- Reacthon - first chemical engineering hackathon in Kazakhstan


## Entry Requirements
- Open to all NU students interested in chemical engineering, chemistry, or related fields",2020-09-01,https://t.me/aiche,https://www.instagram.com/nu_aiche/
7,11,AIESEC,academic,aiesec@nu.edu.kz,Official AIESEC at Nazarbayev *University*.,2020-09-01,https://t.me/aiesec,https://www.instagram.com/aiesec
8,29,American Chemical Society International Student Chapter,academic,acs@nu.edu.kz,Official American Chemical Society International Student Chapter at Nazarbayev University.,2020-09-01,https://t.me/acs,https://www.instagram.com/acs
9,26,American Concrete Institute Student Chapter,academic,aci@nu.edu.kz,"The American Concrete Institute (ACI) student chapter at our university is a civil engineering club dedicated to expanding students' practical knowledge in structural design, construction, and materials. Through workshops, site visits, and competitions, we provide opportunities to apply classroom concepts in real-world settings, connect with industry professionals, and build teamwork among future civil engineers.


**Location:** 27 Block 154 Room, Dormitory


## Activities
- Bridge and Tower construction tournaments
- Guest lectures with industry professionals
- Field trips
- Networking events with professors and students


## Achievements
- 2023-2024 Outstanding Student Chapter Award
- 2024 NU Student Awards Academic Club Nomination


## Entry Requirements
- Eager to learn about civil engineering
- Willing to participate in projects and activities
- Open to teamwork and collaboration
- Motivated to contribute to the growth of the civil engineering community",2020-09-01,https://t.me/aci,https://www.instagram.com/nu_aci_sc/
10,5,American Society of Chemical Engineers Student Chapter,academic,asce@nu.edu.kz,Official American Society of Chemical Engineers Student Chapter at Nazarbayev University.,2020-09-01,https://t.me/asce,https://www.instagram.com/asce
11,65,Anime Club,cultural,animeclub@nu.edu.kz,"The following include the objectives of the club but not limited to:

Promote the anime & manga industry among the NU Community.

Provide NU students opportunities to start or continue their career path in the anime & manga industry.

Develop the idea of non-discriminative behavior raising vulnerable topics. (e.g. anti-harassment, sexism, homophobia)

Make it possible to present our own culture via the anime & manga industry.


**Location:** 27 Block 150 Room, Dormitory


## Activities
- Treasure Hunts
- Manga Coloring
- Movie Nights
- AnimeCon


## Achievements
- Contribution to socialization and networking of students
- 10% discount for NU students at GeekMarket with no expiration date
- Annual gathering of cosplayers from across Astana city to share experiences and have fun


## Entry Requirements
- Familiarity with anime and/or manga cultures
- Open for new experience",2020-09-01,https://t.me/animeclub,https://www.instagram.com/nu.anime.club/
12,54,Art Revolution,cultural,art.revolution@nu.edu.kz,"Art Revolution is a student-led club that unites young creatives passionate about visual arts, design, and music as powerful tools of self-expression. We explore how creativity can drive storytelling, activism, and cultural change across different mediums. Through workshops, performances, exhibitions, and collaborative projects, members develop their skills and push artistic boundaries.


**Location:** 27 block 128 Room, Dormitory


## Activities
- Instrumental Concerts
- Exhibitions
- Workshops


## Achievements
- Arts & Recreation Club of the Year 24'


## Entry Requirements
- Passionate about art
- Commitment to participation
- Basic skill in playing instrument/singing",2020-09-01,https://t.me/NUArtRevolution,https://www.instagram.com/art.revolution.nu/
13,57,Art Studio,cultural,artstudio@nu.edu.kz,"We introduce people to art and give them the freedom to explore it in its entirety. Any NU student is welcome in our club room to draw, paint, or do handcrafts using university-provided art materials. You’re also invited to simply hang out with us and enjoy the supportive, creative community!


**Location:** 27 Block 147 Room, Dormitory


## Activities
- Art related workshops
- Sketching sessions
- Themed installations
- Art Exhibitions


## Achievements
- Annual spring traditional art exhibition 2025 “Love”
- 8th March Installation “Medusa”


## Entry Requirements
- Being open to new people
- Willingness to contribute to club operations",2020-09-01,https://t.me/artstudio,https://www.instagram.com/nu_art_studio/
14,7,Association of Political Science Students,academic,psirassociation@nu.edu.kz,Official Association of Political Science Students at Nazarbayev University.,2020-09-01,https://t.me/psirassociation,https://www.instagram.com/psirassociation
15,14,Association of Women in Mathematics,academic,awm@nu.edu.kz,"The Association for Women in Mathematics (AWM) at NU promotes gender equity in STEM and beyond by organizing impactful events such as networking sessions with researchers and professionals, all-female Math Competitions, and mentorship programs for female students and schoolgirls. One of our key partners is TechnoWomen, with whom we collaborate to support and inspire future women leaders in science and technology. We provide a platform where female students can grow, lead, and connect through shared experiences in science, technology, engineering, and mathematics.


## Activities
- Women Empowerment Info Sessions
- AWM Math Combat
- STEMpowerment Talks
- Lunch with PhD


## Achievements
- Nominated for Breakthrough of the Year at NU Awards
- Organized the first-ever all-female Math Combat with 14 institutions
- Partnered with TechnoWomen for leadership events


## Entry Requirements
- Passion for equity
- Open to all majors and experience levels
- Eager to learn and contribute
- Supportive of a collaborative community",2020-09-01,https://t.me/awmnu,https://www.instagram.com/awmsc.nu/
16,60,Astana Ball,cultural,astanaball@nu.edu.kz,Official Astana Ball at Nazarbayev University.,2014-09-01,https://t.me/astanaball,https://www.instagram.com/astanaball
17,78,Ballroom Dance,sports,ballroomdance@nu.edu.kz,"The Ballroom Dance Fam is a warm and inclusive community where anyone can discover the joy of ballroom dancing - absolutely free. Whether you’ve never danced before or already have experience, our club offers a supportive space to learn, practice, and have fun. No auditions, no prior skills, and no partner required - everyone is welcome!

The Ballroom Dance Club is a vibrant community for anyone passionate about dance - from complete beginners taking their first steps to seasoned dancers refining their skills. Our professional ballroom choreographers guide you through a wide variety of styles, including the Waltz, Tango, Foxtrot, Quickstep, Cha-Cha, and Rumba. Each session is designed to be engaging, approachable, and confidence-building, so you can enjoy dancing from your very first class.

You can see our fantastic performances at Astana Ball, NU Orchestra Grand Concert, NU Decides, Snowball, NU Awards, and many other events. Moreover, every year we organize our own concert, where every member who visited our club has the opportunity to shine on stage.

Whether you're an experienced dancer or a complete beginner, you'll find a friendly community and expert guidance here, because Ballroom is family! We offer regular practice sessions and workshops to help you shine on the dance floor. Discover the joy of ballroom dancing, make new friends, and create unforgettable memories with us!


**Location:** 26 Block 103 Room, Dormitory


## Activities
- Regular dance practices and technique workshops
- Choreography sessions for performances
- Social dancing events
- Annual end-of-year dance concert


## Achievements
- Performed at Prestigious Events – Featured at NU Decides, Astana Ball, NU Awards, and the NU Orchestra Grand Concert
- Organizes Themed Dance Concerts – Presented elegant performances across Waltz, Tango, Cha-Cha, and other ballroom styles
- Growth of New Dancers – Helped complete beginners become confident performers through free professional training


## Entry Requirements
- No dance experience required
- No partner needed
- No auditions or fees - all classes are free
- Open to all skill levels and backgrounds",2020-09-01,https://t.me/ballroomdance,https://www.instagram.com/nu_ballroomdance/
18,68,Beine Accessory Club,cultural,beine.club@nu.edu.kz,"Beıné is a creative art activism club with a goal to turn ideas into action through art. We run hands-on workshops – from making crafts like keychains and bracelets to exploring other creative forms – with proceeds going to charity, alongside larger annual art projects and installations. Each year, we choose a theme on an important issue and share our work through exhibitions on campus and beyond. In a way, it's like our own 'annual concert', but for art and activism.


**Location:** 27 Block 147 Room, Dormitory


## Activities
- Conducting and participating in creative workshops
- Charity collaborations
- Annual art installations


## Achievements
- Raised more than 100,000 tenge for charities
- Conducted a runway photoshoot
- Organized three exhibitions, two at Upper Atrium and one at Kulanshi Art Gallery
- Conducted 10+ creative workshops for NU students


## Entry Requirements
- Interested in activism, art, and creative expression
- No need to be an artist, enough to be enthusiastic and open to learn
- Willing to participate in club workshops and events actively",2020-09-01,https://t.me/beine.club,https://www.instagram.com/beine.club/
19,81,Belly Dance,sports,bellydance@nu.edu.kz,Belly Dance Club at Nazarbayev University.,2020-09-01,https://t.me/nu_bellydance,https://www.instagram.com/nu_bellydance
20,32,BioExplorer,academic,bioexplorer@nu.edu.kz,"From thought-provoking discussions and guest speakers to biology-themed games and chill study sessions, we turn interest into impact. Whether you're obsessed with the logic behind life, fascinated by biology’s strangest exceptions, or just here for the vibes and cool facts, there’s a place for you. We’re here to make biology exciting, approachable, and a little chaotic in the best way.


**Location:** 27 Block 144 Room, Dormitory


## Activities
- Biology Week
- Biology Majors Teambuilding
- BioExplorer Talks


## Achievements
- Host two major events each year connecting students with professors, and maintain an active, student-led community through discussions and workshops.


## Entry Requirements
- All levels are welcome!",2022-09-01,https://t.me/bioexplorer,https://www.instagram.com/bioexplorer_nu/
21,50,Board Games,cultural,board.games@nu.edu.kz,"Our club maintains a collection of over 100 board games, offering students a fun and engaging way to spend their free time. We aim to create a welcoming environment where they can relax, connect with others, and momentarily escape everyday stress. To support this goal, we host weekly game nights and actively participate in events (including team-building activities) organized by other clubs - to bring entertainment and joy to the wider student community.


**Location:** 27 Block 150 Room, Dormitory


## Activities
- Weekly Game Nights
- Thematic festivals (Avatar, Adventure Time, Medieval, etc.)
- Teambuildings of other clubs
- Tournaments


## Achievements
- Art and Recreation Club of the Year
- Collaboration with Hobby Games Store
- 20+ events during last academic year (2024-2025)


## Entry Requirements
- Passionate about playing board games
- Driven by a desire to bring joy to others
- Committed to supporting the club’s success
- Eager to become part of a diverse and welcoming community",2020-09-01,https://t.me/board.games,https://www.instagram.com/nu.boardgames/
22,87,Body Ballet,sports,bodyballet@nu.edu.kz,Official Body Ballet at Nazarbayev University.,2020-09-01,https://t.me/bodyballet,https://www.instagram.com/bodyballet
23,90,Boxing Club,sports,boxingclub@nu.edu.kz,Official Boxing Club at Nazarbayev University.,2020-09-01,https://t.me/boxingclub,https://www.instagram.com/boxingclub
24,84,Brazilian Jiu-Jitsu and Grappling Club,sports,bjjgrappling@nu.edu.kz,"          NU BJJ & Grappling club was established in the Spring of 2022, and has since become a major martial arts sports club at Nazarbayev University. The club fosters a strong community of health-conscious and driven athletes who push each other to excel. The students have been trained by the high-ranking coaches (Matthew Courney, Michael Aristidou, Ludy Aristidou, and Nazgul Rakhayeva).  
          The head coach of the club, Matthew Courtney, is a black belt in BJJ and Mentor of the Year 2025 by NU Awards. Under his guidance, numerous members have become prize winners and champions in the City and Republican competitions, including AIGA, AJP, GMT tournaments, and the Eurasian Jiu-Jitsu Cup. Beyond competition, the club holds self-defense workshops, advanced training masterclasses, internal tournaments, and external collaborations, enriching the student experience and promoting a culture of excellence both on and off the mat. 

",2022-01-01,https://t.me/+xACLZxJ9gi9iYTAy,http://instagram.com/grappling_nu/
