,id,name,category,email,description,established,telegram_url,instagram_url,description_clean,interest_areas
0,49,25th July Cinema,cultural,25july@nu.edu.kz,"25th July Cinema Club is a collaborative hub for students passionate about the art of visual storytelling. Whether you’re into directing, screenwriting, acting, cinematography, or editing - this is where ideas turn into motion pictures. No prior experience needed - just your passion and imagination.


**Location:** 27 Block 146 Room, Dormitory


## Activities
- Create original short films and music videos
- Organize major events like Lights On! Filmathon and premiere nights
- Host workshops, feedback sessions, and production challenges
- Conduct creative meetups, movie quizzes, and guest lectures


## Achievements
- Named Art & Recreation Club of the Year 2025
- Hosted Lights On Filmathon with 150+ student filmmakers in a 24-hour challenge
- Organized 4+ movie quizzes and 2 guest lectures, including one with Aya Shalkar
- Created 2 live music videos and co-hosted a concert with Kunzharyq


## Entry Requirements
- Be open and creative
- Have a passion for filmmaking or films
- No prior experience needed - just enthusiasm
- Willingness to be involved, grow, and be part of a lasting, supportive community",2020-09-01,https://t.me/CinemaJuly25th,https://www.instagram.com/xxv07/,"25th July Cinema Club is a collaborative hub for students passionate about the art of visual storytelling. Whether you’re into directing, screenwriting, acting, cinematography, or editing - this is where ideas turn into motion pictures. No prior experience needed - just your passion and imagination. Activities Create original short films and music videos Organize major events like Lights On! Filmathon and premiere nights Host workshops, feedback sessions, and production challenges Conduct creative meetups, movie quizzes, and guest lectures Achievements Named Art & Recreation Club of the Year 2025 Hosted Lights On Filmathon with 150+ student filmmakers in a 24-hour challenge Organized 4+ movie quizzes and 2 guest lectures, including one with Aya Shalkar Created 2 live music videos and co-hosted a concert with Kunzharyq Entry Requirements Be open and creative Have a passion for filmmaking or films No prior experience needed - just enthusiasm Willingness to be involved, grow, and be part of a lasting, supportive community",Film & Media
1,17,Accounting and Auditing Club,academic,aac@nu.edu.kz,"Accounting and Auditing Club (AAC) is a professional development club founded by former employees of the Big 4. Our mission is to help students gain the knowledge, skills, and experience needed to build successful careers in accounting, auditing, and beyond. We organize large-scale events with industry-level standards, including case championships, professional bootcamps with Big 4 companies, intellectual games, and more. Our members also take part in educational lectures and hands-on workshops led by mentors, allowing them to deepen their understanding of key financial topics. Beyond professional growth, AAC offers a welcoming and supportive community where like-minded students passionate about finance can learn, connect, and grow together.",2020-09-01,https://t.me/nu__aac,https://www.instagram.com/nu__aac,"Accounting and Auditing Club (AAC) is a professional development club founded by former employees of the Big 4. Our mission is to help students gain the knowledge, skills, and experience needed to build successful careers in accounting, auditing, and beyond. We organize large-scale events with industry-level standards, including case championships, professional bootcamps with Big 4 companies, intellectual games, and more. Our members also take part in educational lectures and hands-on workshops led by mentors, allowing them to deepen their understanding of key financial topics. Beyond professional growth, AAC offers a welcoming and supportive community where like-minded students passionate about finance can learn, connect, and grow together.",Business & Finance
2,20,ACM@NU,academic,acmsc@nu.edu.kz,"ACM@NU -is the Nazarbayev University branch of the Association for Computing Machinery, the world's largest educational and scientific computing society. Founded in 2017, it was the first ACM student chapter in Kazakhstan.
The club functions as the primary IT hub for students, focusing on networking, skill-building, and high-stakes competitions.

Since 2017, we’ve provided unique opportunities for networking, mentoring, and connecting over shared interests within the university and the wider community. The ACM-Women Student Chapter empowers women through projects and programs in computing.",2017-02-04,https://t.me/nuacmsc,https://www.instagram.com/nuacmsc/,"ACM@NU -is the Nazarbayev University branch of the Association for Computing Machinery, the world's largest educational and scientific computing society. Founded in 2017, it was the first ACM student chapter in Kazakhstan. The club functions as the primary IT hub for students, focusing on networking, skill-building, and high-stakes competitions. Since 2017, we’ve provided unique opportunities for networking, mentoring, and connecting over shared interests within the university and the wider community. The ACM-Women Student Chapter empowers women through projects and programs in computing.",Technology & Computing
3,150,Acoustic Night Community,cultural,acousticnight@nu.edu.kz,"Acoustic Night has been a part of Nazarbayev University since 2014, bringing students together through the power of live acoustic music. We organize concerts both on and off campus, giving students the chance to share their musical talents and passion, not only as performers, but also as organizers, creatives, or simply music lovers. Whether you're performing or enjoying the music, our club creates a space where everyone can connect, relax, and celebrate the art of music. Everyone is welcome at AN, no experience needed, just a love for music and good vibes.


**Location:** 26 Block 122 Room, Dormitory


## Activities
- Acoustic concerts on and off campus
- Open mic nights
- Tutorial sessions for beginners


## Achievements
- Our charity concert raised 77,000 tenge


## Entry Requirements
- Everyone is welcome!
- If music moves you, you’re already one of us.",2025-10-19,https://t.me/acousticnightcommunity,https://www.instagram.com/acoustic.night/,"Acoustic Night has been a part of Nazarbayev University since 2014, bringing students together through the power of live acoustic music. We organize concerts both on and off campus, giving students the chance to share their musical talents and passion, not only as performers, but also as organizers, creatives, or simply music lovers. Whether you're performing or enjoying the music, our club creates a space where everyone can connect, relax, and celebrate the art of music. Everyone is welcome at AN, no experience needed, just a love for music and good vibes. Activities Acoustic concerts on and off campus Open mic nights Tutorial sessions for beginners Achievements Our charity concert raised 77,000 tenge Entry Requirements Everyone is welcome! If music moves you, you’re already one of us.",Music & Performance
4,63,Adventure Club,cultural,adventure.club@nu.edu.kz,"Official Adventure Club at Nazarbayev Universitys a student-run organization dedicated to outdoor activities, travel, and promoting an active lifestyle. Unlike academic or career-focused clubs like ACM, NUAC is purely recreational and focused on exploring Kazakhstan’s natural landscapes.

",2020-09-01,https://t.me/adventure.club,https://www.instagram.com/adventure.club,"Official Adventure Club at Nazarbayev Universitys a student-run organization dedicated to outdoor activities, travel, and promoting an active lifestyle. Unlike academic or career-focused clubs like ACM, NUAC is purely recreational and focused on exploring Kazakhstan’s natural landscapes.",Sports & Fitness
5,8,Aeromodelling Club,academic,aeromodelling_club@nu.edu.kz,"Aeromodelling Club is a community for students passionate about aviation and aerospace technology. We focus on designing, building, and flying model aircraft, from fixed-wing planes to advanced RC models. Members have the opportunity to learn about aerodynamics, flight control systems, and modern engineering techniques through hands-on projects. The club also participates in competitions such as Teknofest, where students can showcase their skills and creativity. Whether you are an experienced builder or just curious about aircraft design, our club offers a space to innovate, collaborate, and bring ideas to life.


**Location:** 27 Block 144 room, Dormitory


## Activities
- Designing, building, and flying RC planes and drones
- AeroTalks


## Achievements
- Participated in Teknofest international UAV competition


## Entry Requirements
- Knowledge of aerodynamics
- 3D CAD modeling
- Flight controls
- Basic electronics proficiency",2020-09-01,https://t.me/nu_aero,https://www.instagram.com/nu_aero/,"Aeromodelling Club is a community for students passionate about aviation and aerospace technology. We focus on designing, building, and flying model aircraft, from fixed-wing planes to advanced RC models. Members have the opportunity to learn about aerodynamics, flight control systems, and modern engineering techniques through hands-on projects. The club also participates in competitions such as Teknofest, where students can showcase their skills and creativity. Whether you are an experienced builder or just curious about aircraft design, our club offers a space to innovate, collaborate, and bring ideas to life. Activities Designing, building, and flying RC planes and drones AeroTalks Achievements Participated in Teknofest international UAV competition Entry Requirements Knowledge of aerodynamics 3D CAD modeling Flight controls Basic electronics proficiency",Technology & Computing; Science & Research
6,23,AIChE Student Chapter,academic,aiche@nu.edu.kz,"We are the AIChE Student Chapter at Nazarbayev University. We host academic and professional events throughout the year, inviting professionals, organizing industry visits, and STEM events. Our members come from chemical engineering, chemistry, and related majors. If you're passionate or just curious, join us.


**Location:** 27 Block 145 Room, Dormitory


## Activities
- ""Avatar"" Week
- Reacthon
- ChemeSoccer
- Guest Lectures


## Achievements
- Chem-E-Car 2022-2023: 1st place in Poster Presentations and 3rd place in Demo-Run
- ChemECube 2023: Best Poster Award
- Reacthon - first chemical engineering hackathon in Kazakhstan


## Entry Requirements
- Open to all NU students interested in chemical engineering, chemistry, or related fields",2020-09-01,https://t.me/aiche,https://www.instagram.com/nu_aiche/,"We are the AIChE Student Chapter at Nazarbayev University. We host academic and professional events throughout the year, inviting professionals, organizing industry visits, and STEM events. Our members come from chemical engineering, chemistry, and related majors. If you're passionate or just curious, join us. Activities ""Avatar"" Week Reacthon ChemeSoccer Guest Lectures Achievements Chem-E-Car 2022-2023: 1st place in Poster Presentations and 3rd place in Demo-Run ChemECube 2023: Best Poster Award Reacthon - first chemical engineering hackathon in Kazakhstan Entry Requirements Open to all NU students interested in chemical engineering, chemistry, or related fields",Science & Research
7,11,AIESEC,academic,aiesec@nu.edu.kz,"AIESEC focuses on cross-cultural exchange and professional management through its Global Volunteer and Global Talent programs. By hosting high-level events—such as the Higgsfield Case Championship—it connects students with the startup ecosystem and the business side of tech. It is a strategic choice for those looking to develop the ""soft"" leadership skills and international mindset necessary to lead major IT corporations.",2020-09-01,https://t.me/aiesec,https://www.instagram.com/aiesec,"AIESEC focuses on cross-cultural exchange and professional management through its Global Volunteer and Global Talent programs. By hosting high-level events—such as the Higgsfield Case Championship—it connects students with the startup ecosystem and the business side of tech. It is a strategic choice for those looking to develop the ""soft"" leadership skills and international mindset necessary to lead major IT corporations.",Business & Finance; Culture & Languages; Social Impact & Volunteering
8,29,American Chemical Society International Student Chapter,academic,acs@nu.edu.kz,"Official ACS International Student Chapter at Nazarbayev University (often referred to as ACS NU) is a specialized academic club for students interested in chemical sciences, biochemistry, and chemical engineering. It is a branch of the American Chemical Society, providing a direct link between NU students and the global scientific community.",2020-09-01,https://t.me/acs,https://www.instagram.com/acs,"Official ACS International Student Chapter at Nazarbayev University (often referred to as ACS NU) is a specialized academic club for students interested in chemical sciences, biochemistry, and chemical engineering. It is a branch of the American Chemical Society, providing a direct link between NU students and the global scientific community.",Science & Research
9,26,American Concrete Institute Student Chapter,academic,aci@nu.edu.kz,"The American Concrete Institute (ACI) student chapter at our university is a civil engineering club dedicated to expanding students' practical knowledge in structural design, construction, and materials. Through workshops, site visits, and competitions, we provide opportunities to apply classroom concepts in real-world settings, connect with industry professionals, and build teamwork among future civil engineers.


**Location:** 27 Block 154 Room, Dormitory


## Activities
- Bridge and Tower construction tournaments
- Guest lectures with industry professionals
- Field trips
- Networking events with professors and students


## Achievements
- 2023-2024 Outstanding Student Chapter Award
- 2024 NU Student Awards Academic Club Nomination


## Entry Requirements
- Eager to learn about civil engineering
- Willing to participate in projects and activities
- Open to teamwork and collaboration
- Motivated to contribute to the growth of the civil engineering community",2020-09-01,https://t.me/aci,https://www.instagram.com/nu_aci_sc/,"The American Concrete Institute (ACI) student chapter at our university is a civil engineering club dedicated to expanding students' practical knowledge in structural design, construction, and materials. Through workshops, site visits, and competitions, we provide opportunities to apply classroom concepts in real-world settings, connect with industry professionals, and build teamwork among future civil engineers. Activities Bridge and Tower construction tournaments Guest lectures with industry professionals Field trips Networking events with professors and students Achievements 2023-2024 Outstanding Student Chapter Award 2024 NU Student Awards Academic Club Nomination Entry Requirements Eager to learn about civil engineering Willing to participate in projects and activities Open to teamwork and collaboration Motivated to contribute to the growth of the civil engineering community",Science & Research
